data,decision,judge,region,articles
"нему убеждению, основанному на всестороннем, полном, объективном и непосредственном исследовании имеющихся в деле доказательств, суд пришел к выводу, что отсутствовали уважительные причины, которые объективно препятствовали налоговому органу своевременно обратиться в суд с заявлением о взыскании недоимки. При таких обстоятельствах арбитражный суд не усматривает оснований для удовлетворения заявления ИФНС по Центральному району г.Тулы о восстановлении пропущенного срока, установленного пунктом 3 статьи 46 Налогового кодекса Российской Федерации для подачи заявления о взыскании задолженности по налогу и пени, и отказывает заявителю в удовлетворении ходатайства. Поскольку пропуск срока на обращение в арбитражный суд является самостоятельным основанием для отказа в удовлетворении требований, то требование налогового органа о взыскании задолженности в размере 32 534 руб. 69 коп. подлежит отклонению. На основании вышеизложенного и, руководствуясь ст.ст. 167-170, 216 АПК РФ, 7 арбитражный суд",отказано,Л.В.Елисеева,Тула,"{'нк': [23, 44, 45, 46, 75, 115], 'апк': [227]}"
"ю 181.5 ГК РФ, однако не приводит каких-либо обстоятельств в ней указанных. Также Истцом не опровергнуто возражения конкурсного управляющего ООО «Производственные фонды» о том, что в случае признания Ответчика банкротом, Истец в любом случае вправе реализовать свое право на подачу заявления о включении А45-19449/2016 10 его требования в реестр кредиторов, которое будет проверено в соответствии с нормами ст.100 ФЗ «О несостоятельности (банкротстве»). Таким образом, принятие обжалуемого решения не повлияло на права и обязанности Должника по договору ипотеки. Истец не доказал нарушение своих прав. Представленная Истцом таблица, содержащая сведения об обращении ООО «Сибфинресурс» с 12 заявлениями в Арбитражный суд Новосибирской области с различными требованиями, не имеет отношения к доказательствам по настоящему делу. Расходы по госпошлине суд относит на истца. На основании изложенного, руководствуясь статьями 110, 167-171, 176 Арбитражного процессуального кодекса Российской Федерации, суд",отказано,А.А. Уколов,Новосибирск,"{'апк': [65, 110, 167, 168, 169, 170, 171, 176]}"
"ельных этапов не приведет к нарушению баланса имущественных интересов обеих сторон государственного контракта. Данные сроки обе стороны также признали объективными и реальными к исполнению. Таким образом, требования Общества о внесении изменений в контракт признаются судом обоснованными и подлежат удовлетворению. Поскольку основанием для удовлетворения данного иска послужило наступление обстоятельств, не зависящих от воли обеих сторон, то суд по- лагает, что справедливым и разумным будет обоюдное участие в равных долях как истца, так и ответчика, в судебных расходах по уплате государ- ственной пошлины за его рассмотрение. В связи с этим в соответствии со статьей 110 Арбитражного процессуального кодекса Российской Федерации расходы истца по уплате государственной пошлины в размере ½ части, что составляет 3 000 рублей, подлежат отнесению на ответчика. Руководствуясь статьями 110, 167-171, 176 Арбитражного процессу- ального кодекса Российской Федерации, Арбитражный суд Вологодской области",принято,Т.Б.Виноградова,Череповца,{'апк': [110]}
"ившего ДТП возложена на потерпевшего или выгодоприобретателя, в указанном пункте нет указаний на возможность предоставления независимой экспертизы по определению стоимости страхового возмещения вместо поврежденного транспортного средства. В этой связи суд приходит к выводу о надлежащем и полном исполнении страховщиком своих обязанностей перед страхователем. Таким образом, оснований для взыскания с ответчика заявленной суммы страхового возмещения в размере 202,50 руб. у суда не имеется. Как следствие этому, суд отказывает истцу во взыскании расходов на проведение экспертизы в сумме 8 500 руб., поскольку последние при названных обстоятельствах не могут быть включены в состав убытков. При таких обстоятельствах суд отказывает истцу в удовлетворении иска в полном объеме. А51-18452/2016 6 Заявленные расходы на оплату слуг представителя и уплату государственной пошлины по правилам статьи 110 АПК РФ также не подлежат возмещению. Руководствуясь статьями 110, 167-171, 229 АПК РФ, арбитражный суд",отказано,Краснов В.В.,Владивосток,{}
"ветствии с положениями Федерального закона от 02.10.2007 № 229-ФЗ, то штраф по правилам ст. 332 АПК РФ наложен на нее быть не может. В этом случае привлечение службы судебных приставов к ответственности за не совершение всех необходимых действий по исполнению переданного на исполнение судебного акта арбитражного суда осуществляется в порядке, предусмотренном специальными нормами, и рассматривается арбитражным судом по правилам, установленным гл. 24 АПК РФ. В соответствии с ч. 3 ст. 201 АПК РФ, в случае, если арбитражный суд установит, что оспариваемый ненормативный правовой акт, решения и действия (бездействие) органов, осуществляющих публичные полномочия, должностных лиц соответствуют закону или иному нормативному правовому акту и не нарушают права и законные интересы заявителя, суд принимает решение об отказе в удовлетворении заявленного требования. 71_5457012 7 Руководствуясь статьями 110, 167 – 170, 176, 201 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",отказано,М.В.Афанасьева,Москва,{}
"ченной разницы между страховым возмещением и фактическим размером ущерба, заявленные требования истца подлежат удовлетворению в полном объеме. Ответчик требования по существу не оспорил, отзыв на иск не представил. С учетом изложенного, арбитражный суд, исследовав и оценив представленные в деле доказательства в их совокупности и взаимосвязи в соответствии со статьей 71 Арбитражного процессуального кодекса Российской Федерации, считает, что истец не доказал противоправность поведения ответчика и причинно-следственную связь между его противоправным поведением и наступлением вреда и в силу указанных норм закона исковые требования о взыскании с ответчика основного долга в размере 244 585 руб., заявлены обосновано и подлежат удовлетворению. 7 Расходы по уплате государственной пошлины, согласно статье 110 Арбитражного процессуального кодекса Российской Федерации, относятся на ответчика. Руководствуясь статьями 167-170 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",частично,С.Ю.Ибрагимова,Иркутск,"{'апк': [65, 71, 110, 156, 167, 168, 169, 170], 'гк': [15, 387, 965, 1064, 1068, 1072]}"
"й сложности, оно не является сложным ни по объему, ни по предмету доказывания, с учетом того факта, что ответчиком в материалы дела отзыв, ходатайства и доказательства не представлялись. Учитывая изложенное, заявление истца о взыскании судебных расходов на оплату услуг представителя подлежит удовлетворению в разумных пределах - в размере 30 000 руб. В соответствии с ч. 1 ст. 71 АПК РФ арбитражный суд оценивает доказательства по своему внутреннему убеждению, основанному на всестороннем, полном, объективном и непосредственном исследовании имеющихся в деле доказательств. Согласно ст. 65 АПК РФ каждое лицо, участвующее в деле, должно доказать обстоятельства, на которые оно ссылается как на основание своих требований и возражений. В соответствии со ст.ст. 102, 110 АПК РФ госпошлина по иску относится на ответчика. С учетом изложенного, на основании ст.ст. 8, 11, 12, 309, 310, 361, 365, 395 ГК РФ, руководствуясь ст.ст. 9, 65-68, 71, 75, 102, 110, 121, 123, 156, 167-171, 180, 181 АПК РФ, суд 5",частично,Л.Н. Агеева,Москва,{}
"ированных возражений по существу иска ответчиком в материалы дела не представлено, исковое требование о взыскании задолженности в сумме 71 539,39 руб. за сентябрь 2016 года подлежит удовлетворению в полном объеме. Поскольку нарушение ответчиком сроков исполнения обязательства по оплате тепловой энергии (тепловой мощности) подтверждено материалами дела, ответственность за нарушение предусмотрена законом, требование истца о взыскании пени в размере 19 492,55 руб., начисленных за период с 21.06.2016 по 21.11.2016 по задолженности за апрель, сентябрь 2016 года, подлежит удовлетворению на основании статьи 330 ГК РФ, а также вступивших с 01.01.2016 требований ч. 6.3 ст. 13 Федерального закона от 07.12.2011 N 416-ФЗ ""О водоснабжении и водоотведении"" и ч. 9.2 ст. 15 Федерального закона от 27.07.2010 N 190-ФЗ ""О теплоснабжении"". Расходы по уплате государственной пошлины в порядке ч. 1 ст. 110 АПК РФ относятся на ответчика. Руководствуясь статьями 49, 104, 110, 150, 167-170, 176, 319 АПК РФ, суд",отказано,Д.В. Полозова,0,{}
" процентов за пользование чужими денежными средствами, расчет которых по состоянию на 20.06.2016 в размере 194 516 руб. 28 коп. судом проверен и признан правильным, соответствующим обстоятельствам дела. Суд отклоняет доводы ответчика об отсутствии задолженности по договору, так как акт сверки составлен сторонами в отношении основного долга – стоимости товара, в то время как транспортные расходы таковыми не являются. Условие договора о взыскании транспортных расходов не оспорено, о фальсификации не заявлено, в связи с чем является подлежит исполнению каждой из сторон сделки. Также суд отмечает, что наличие либо отсутствие оплаты товара не является обязательным условием для оплаты транспортных расходов. Предоставленное ответчиком письмо №RUL-03-02-05 от 03.02.2016 к рассмотрению настоящего спора не относится, так как поступило ответчику раньше, чем была направлена претензия (письмо №22-02/16 т 16.02.2016). На основании изложенного, руководствуясь ст.ст. 110, 167-171, 172, 176 АПК РФ, суд",частично,Д.В.Котельников,Москва,{}
"вом регулировании, иск подлежит удовлетворению полностью, всего с ответчика подлежит взысканию 6 714 707,82 рублей, в том числе 3 920 187,12 рублей основного долга и 2 794 520,70 рублей пени. Истец в силу пункта 1 части 1 ст. 333.37 Налогового кодекса Российской Федерации освобожден от уплаты государственной пошлины. Статья 110 Арбитражного процессуального кодекса Российской Федерации предусматривает, что государственная пошлина, от уплаты которой в установленном порядке истец был освобожден, взыскивается с ответчика в доход федерального бюджета пропорционально размеру удовлетворенных исковых требований, если ответчик не освобожден от уплаты государственной пошлины. Таким образом, с учетом положения подпункта 1 пункта 1 статьи 333.21 Налогового кодекса Российской Федерации, исходя из размера удовлетворенных исковых требований, с ответчика в доход федерального бюджета подлежит взысканию государственная пошлина в размере 56 574,00 рублей. Руководствуясь статьями 110, 167-170, 176 АПК РФ,",частично,Е.А. Евсеева,0,"{'апк': [49, 110], 'гк': [8, 333], 'зк': [65]}"
"живать имущество в исправном состоянии, производить за свой счет текущий ремонт и нести расходы на содержание имущества, если иное не установлено законом или договором аренды. Согласно пункту 3.3.1 договоров аренды расходы по предоставлению коммунальных и иных услуг не входят в арендную плату и оплачиваются арендатором сверх арендной платы на основании заключенных сторонами договоров. Факт несения арендодателем расходов на оплату коммунальных услуг подтвержден материалами дела. Расчет задолженности судом проверен и признан правильным. Поскольку в нарушение статьи 65 Арбитражного процессуального кодекса Российской Федерации ответчик не представил в материалы дела доказательств возмещению истцу расходов на оплату коммунальных услуг в спорной сумме, требования истца являются правомерными и удовлетворяются судом в полном объеме. Расходы по государственной пошлине относятся на ответчика. Руководствуясь статьями 110, 167-170, 319 Арбитражного процессуального кодекса Российской Федерации, суд",принято,О.В. Игнатьева,Арзамас,"{'апк': [65, 110, 123, 156, 167, 168, 169, 170, 319], 'гк': [309, 310, 616]}"
"процессуального кодекса Российской Федерации арбитражный суд, установив, что оспариваемый ненормативный правовой акт, решение и действия (бездействие) органов, осуществляющих публичные полномочия, должностных лиц не соответствуют закону или иному нормативному правовому акту и нарушают права и законные интересы заявителя в сфере предпринимательской и иной экономической деятельности, принимает решение о признании ненормативного правового акта недействительным, решений и действий (бездействия) незаконными. При таких обстоятельствах суд пришел к выводу о том, что требования Общества с ограниченной ответственностью ""Ангара плюс"" законны, обоснованы, документально подтверждены, заявление подлежит удовлетворению. В силу пункта 1 статьи 110 Арбитражного процессуального кодекса Российской Федерации расходы по уплате государственной пошлины в размере 3000 руб. возлагаются на ответчика. Руководствуясь статьями 167-170, 201 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",частично,Е.И. Верзаков,Иркутск,"{'нк': [3, 166, 170, 171, 172], 'апк': [110, 167, 168, 169, 170, 201]}"
"конным интересам, соответствовать характеру совершенного деяния, принимая во внимание, что заинтересованное лицо ранее к административной ответственности не привлекалось (доказательств обратного в материалах дела не имеется), исходя из баланса публичных и частных интересов, суд находит возможным наложить на заинтересованное лицо штраф в минимальном размере санкции, предусмотренной ч. 2 ст. 14.1 КоАП РФ в виде штрафа в размере 4000 рублей. Кроме того, согласно протоколу от 31.10.2016 приема и осмотра добровольно выданного вещества, полученного при проверочной закупки у предпринимателя изъята алкогольная продукция. Поскольку заинтересованное лицо не имеет лицензии на реализацию алкогольной продукции, то изъятую у него находящуюся в незаконном обороте алкогольную продукцию следует конфисковать. На основании изложенного требования заявителя подлежат удовлетворению. 124570273_5985493 5 Руководствуясь ст. 167-170, 206 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",принято,П.Н.Киреев,Екатеринбург,{'гк': [49]}
"тветчик не лишен возможности обратиться в суд с требованием о взыскании неустойки за нарушение сроков поставки товара. Довод о неверном начислении суммы неустойки, необходимости ее исчисления, исходя из суммы неоплаченного товара, отклоняется судом, как противоречащий согласованному сторонами условию приложений к контракту, в частности, п. 3.3 приложения № 2. Довод о несоблюдении истцом претензионного порядка отклоняется судом, как опровергающийся материалами дела. При этом, суд принимает во внимание, что истцом в адрес ответчика неоднократно направлялись претензии, однако ответчик акцентирует внимание лишь на претензии, направленной непосредственно перед подачей иска в суд. Кроме того, материалы дела содержат гарантийные письма ответчика, которых содержится обязательство по скорейшей оплате долга. В соответствии со ст. 110 АПК РФ судебные расходы по оплате госпошлины относятся на ответчика. Учитывая изложенное, руководствуясь ст. ст. 110, 167-171, 176 АПК РФ, Арбитражный суд г. Москвы",принято,Н.Я. Гараева,Москва,{}
"ериод с 31.07.2014 по 29.11.2016 в материалах дела имеется и признается судом правильным. Елин Г.А. доказательств оплаты взыскиваемых процентов не представил, хотя суд определением от 29.08.2016 предложил ему это сделать. При таких обстоятельствах по делу суд удовлетворяет иск. Рассмотрев ходатайство Елина Г.А. об уменьшении размера взыскиваемых процентов, суд отказал в его удовлетворении, поскольку к размеру процентов, взыскиваемых по пункту 1 статьи 395 ГК РФ, по общему правилу, положения статьи 333 Гражданского кодекса Российской Федерации не применяются (абзац 4 пункта 48 Постановления Пленума Верховного Суда РФ от 24.03.2016 № 7 «О применении судами некоторых положений Гражданского кодекса Российской Федерации об ответственности за нарушение обязательств»). На основании статей 110 и 112 Арбитражного процессуального кодекса Российской Федерации расходы по иску относятся на ответчика. Руководствуясь статьями 167-171, 319 Арбитражного процессуального кодекса Российской Федерации, суд",принято,Р.Ю. Олисов,0,"{'гк': [333, 395], 'апк': [49, 167, 168, 169, 170, 171, 319]}"
"т приниматься во внимание, в частности: нормы расходов на служебные командировки, установленные правовыми актами; стоимость экономных транспортных А82-13986/2016 4 услуг; время, которое мог бы затратить на подготовку материалов квалифицированный специалист; сложившаяся в регионе стоимость оплаты услуг адвокатов; имеющиеся сведения статистических органов о ценах на рынке юридических услуг; продолжительность рассмотрения и сложность дела (пункт 20 Информационного письма Высшего Арбитражного Суда Российской Федерации от 13.08.2004 N 82 ""О некоторых вопросах применения Арбитражного процессуального кодекса Российской Федерации""). Ответчик является проигравшей стороной по делу, факт оказания истцу юридических услуг и их оплаты подтвержден представленными документами, доказательств неразумности судебных расходов ответчиком не представлено, в связи с чем судебные расходы подлежат взысканию с ответчика в полном объеме. Руководствуясь статьями 110, 167-171 Арбитражного процессуального кодекса РФ",частично,Розова Н.А.,Ярославль,"{'апк': [101, 106, 110]}"
"занные услуги по водоснабжению и водоотведении. Расчет 29 308 рублей 39 копеек неустойки за период с 21.05.2016 по 22.07.2016 в материалах дела имеется и признается судом правильным, поскольку произведен в соответствии с пунктом 14 статьи 155 ЖК РФ, в размере одной трехсотой ставки рефинансирования Центрального банка Российской Федерации. Ответчик в нарушение статьи 65 Арбитражного процессуального кодекса Российской Федерации размер неустойки и период ее начисления не оспорил, контррасчет не представил. Таким образом, требование истца о взыскании 29 308 руб. 39 коп. неустойки за период с 21.05.2016 по 22.07.2016 также заявлено правомерно и подлежит удовлетворению. При таких обстоятельствах по делу суд удовлетворяет иск в полном объеме. На основании статей 110 и 112 Арбитражного процессуального кодекса Российской Федерации расходы по иску относятся на ответчика. Руководствуясь статьями 110, 167-171, 176, 180, 319 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",отказано,Е.Е.Кабакина,Нижний,"{'гк': [309, 310, 539, 544], 'апк': [65, 110, 156, 167, 168, 169, 170, 171, 176, 180, 319], 'жк': [155]}"
"частвующих в деле. Оценив по правилам, определенным ст. 71 Арбитражного процессуального кодекса Российской Федерации, представленные в материалы дела доказательства в их совокупности и взаимосвязи, с учетом конкретных обстоятельств дела, критерия разумности понесенных расходов, степени сложности дела, достаточности и доступности судебной практики по делам, аналогичным рассматриваемому, сложившуюся в Арбитражном суде Республики Башкортостан судебную практику по вопросам взыскания расходов по оплате услуг представителей по делам, аналогичным рассматриваемому, суд приходит к выводу о разумности расходов истца по оплате услуг представителя в сумме 15 000 руб. В соответствии со ст. 110 Арбитражного процессуального кодекса Российской Федерации расходы по государственной пошлине возлагаются на истца в размере, установленном ст. 333.21 Налогового кодекса Российской Федерации. Руководствуясь ст.ст. 167-170 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд 1135_2637383 8",частично,З.Г.Фазлыева,Уфа,"{'гк': [15, 1079]}"
"их основанием для принятия оспариваемого акта, решения, совершения оспариваемых действий (бездействия), возлагается на орган или лицо, которые приняли акт, решение или совершили действия (бездействие). На основании вышеизложенного, суд пришел к выводу, что заявителем в соответствии с требованиями ст. 65 Арбитражного процессуального кодекса Российской Федерации не представлено убедительных доказательств наличия оснований для признания незаконным бездействия судебных приставов- исполнителей Железнодорожного районного отдела судебных приставов г. Екатеринбурга УФССП по Свердловской области Казанцевой Ю.С. в рамках исполнительного производства № 425/16/66002-ИП выразившихся в непринятии мер по исполнению требований исполнительного документа, а так же по непредставлении информации о ходе исполнительного производства, в связи с чем, заявленные требования удовлетворению не подлежат. Руководствуясь ст. 167-170, 201, 329 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",отказано,П.Н.Киреев,Екатеринбург,{}
" соответствующим договору. Ответчиком в нарушение требований статьи 65 Арбитражного процессуаль- ного кодекса Российской Федерации не представлено доказательств того, что он отказался от исполнения договора поставки либо потребовал замены товара не- надлежащего качества товаром, соответствующим договору, либо потребовал воз- врата уплаченных денежных средств. Ответчиком не представлено доказательств того, что он отказался от приемки переданного ему поставщиком товара, принял товар на ответственное хранение и уведомил об этом поставщика. Рассмотрение требований ответчика возможно в исковом порядке, однако в порядке статьи 132 Арбитражного процессуального кодекса Российской Федера- ции встречный иск в рамках настоящего дела не заявлен. В соответствии со статьей 110 Арбитражного процессуального кодекса Рос- сийской Федерации расходы по оплате государственной пошлины относятся на ответчика. Руководствуясь статьями 110, 167-171, 176 Арбитражного процессуального кодекса Российской Федерации,",частично,Е.А. Картошкина,Рязань,"{'гк': [307, 309, 310, 329, 330, 333, 454, 475], 'апк': [70, 110, 167, 168, 169, 170, 171, 176]}"
". 79 КВВТ РФ. Согласно п. 6 ст. 79 КВВТ РФ договором перевозки груза может быть предусмотрено, что за время ожидания судном выгрузки и приема груза грузополучателем, а также за время ожидания распоряжения грузоотправителя с грузополучателя взыскивается штраф, предусмотренный пунктом 2 статьи 120 КВВТ РФ, а в случае доставки груза в другой порт грузополучатель компенсирует расходы на выгрузку груза, платежи за хранение груза в порту его вынужденной выгрузки, а также расходы на дополнительную перевозку груза. Ответчик в отзыве указывает, что штраф, установленный п. 2 ст. 120 КВВТ РФ, не может начисляться, поскольку т/х СТ-798 не был подан под выгрузку в пункт назначения (п. Тадебяяха), обязанность по перевозке не выполнена ООО «Сибводгрузтранс», следовательно сверхнормативный простой не возник. Более того, АО «НПЦ «Недра» приступило к выгрузке груза не в пункте назначения. Выгрузка, исходя из позиции, изложенной в исковом заявлении, прекращена по инициативе ООО «Сибгрузводтранс», которое",частично,Митрофанова Г.П.,Ярославль,"{'апк': [110, 167, 168, 169, 170]}"
" бесплатно (по рецепту врача), кроме того ответчиком не доказан возможный размер убытков с учетом отпускной стоимости товара и наличием обращений граждан, обратившихся с заявлениями и жалобами связи с отсутствием препаратов. С учетом изложенного суд не находит оснований для применения ст.333 ГК РФ. Доводы ответчика о списании неустойки суд отклоняет как противоречащие Постановлению Правительства РФ от 14.03.2016 № 190, поскольку размер подлежащих взысканию пени превышает 5% от цены контракта и при этом поставщиком задолженность по контракту не признается, что в силу вышеуказанного постановления, а также Приказов Министерства финансов Российской Федерации от 29.06.2015 №98н и от 12.04.2016 №44н исключает возможность списания 50% пени либо предоставления отсрочки по ее уплате. Расходы по оплате госпошлины подлежат распределению в соответствии со ст. 110 АПК РФ с учетом предоставленной истцу льготе по ее уплате. На основании изложенного руководствуясь ст.ст.64-71, 110, 167-171 АПК РФ, суд",частично,Д.В.Котельников,Москва,{}
" которого наступил либо срок которого не указан или определен моментом востребования. На основании вышеизложенного, в соответствии со ст. 170 АПК РФ, учитывая факт зачета встречных однородных обязательств, задолженность ООО ""САНРАЙЗ ИНЖЕНЕРНЫЕ СЕТИ"" перед фирмой ""АНТ ЯПЫ САНАЙИ ВЕ ТИДЖАРЕТ АНОНИМ ШИРКЕТИ"" в лице Представительства составляет 1 846 399.53 руб. Судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны и распределяются в соответствии со ст. 110 АПК РФ. В связи с удовлетворением первоначальных требований путем зачета при удовлетворении встречных исковых требований государственная пошлина в размере 18 614 руб. подлежит взысканию с ООО ""САНРАЙЗ ИНЖЕНЕРНЫЕ СЕТИ"" в пользу фирмы ""АНТ ЯПЫ САНАЙИ ВЕ ТИДЖАРЕТ АНОНИМ ШИРКЕТИ"" в лице Представительства Руководствуясь ст.ст. 12, 309, 310, 330, 702, 708, 711, 753 Гражданского кодекса РФ, ст.ст. 64-68, 71, 75, 110, 123, 156, 167-170, 176, 180, 181 АПК РФ, суд",частично,Е.Ю. Агафонова,Москва,"{'гк': [309, 310, 401, 410, 702, 753]}"
"т из условий договора аренды лесного участка № ИЛУ от 28.12.2014 г., заключенного ИП Киреев Кирилл Павлович с департаментом по охране окружающей среды и природных ресурсов (в настоящее время стороной договора является комитет дорожного хозяйства, благоустройства и охраны окружающей среды администрации Волгограда), арендодатель вправе: согласовывать передачу прав и обязанностей по договору аренды. Однако указанное условие не влечет за собой возникновения обязанности в даче такого согласия. Таким образом, суд считает, что Комитетом обоснованно отказано в согласовании передачи прав и обязанностей по Договору аренды лесного участка Кирееву В.П. от Юдиной А.А. Киреев В.П. не лишен права приобретения прав и обязанностей по договору аренды земельного участка путем участия в аукционе по продаже права заключения договор аренды лесных участков. При таких обстоятельствах, в удовлетворении требовании отказать. Руководствуясь ст.167-170 Арбитражного процессуального кодекса Российской Федерации, суд",отказано,А.В. Пономарев,Волгоград,"{'апк': [198], 'лк': [71]}"
